FuelConsumption,ModelYear,Make,VehicleClass,EngineSize,Cylinders,Transmission,FuelType,CO2
9.9,2022,Acura,Compact,2.4,4,AM8,Z,200
12.6,2022,Acura,SUV: Small,3.5,6,AS10,Z,263
11,2022,Acura,SUV: Small,2,4,AS10,Z,232
11.3,2022,Acura,SUV: Small,2,4,AS10,Z,242
11.2,2022,Acura,Compact,2,4,AS10,Z,230
11.3,2022,Acura,Compact,2,4,AS10,Z,231
12.3,2022,Acura,Compact,3,6,AS10,Z,256
12.3,2022,Acura,Compact,3,6,AS10,Z,261
10,2022,Alfa Romeo,Mid-size,2,4,A8,Z,205
10.5,2022,Alfa Romeo,Mid-size,2,4,A8,Z,217
13.5,2022,Alfa Romeo,Mid-size,2.9,6,A8,Z,271
10.3,2022,Alfa Romeo,SUV: Small,2,4,A8,Z,218
10.8,2022,Alfa Romeo,SUV: Small,2,4,A8,Z,226
13.9,2022,Alfa Romeo,SUV: Small,2.9,6,A8,Z,288
13,2022,Aston Martin,Minicompact,4,8,A8,Z,271
16.4,2022,Aston Martin,Minicompact,5.2,12,A8,Z,324
16.4,2022,Aston Martin,Minicompact,5.2,12,A8,Z,324
16.8,2022,Aston Martin,SUV: Standard,4,8,A9,Z,343
13.1,2022,Aston Martin,Two-seater,4,8,A8,Z,270
8.5,2022,Audi,Subcompact,2,4,AM7,X,178
9.1,2022,Audi,Compact,2,4,AM7,Z,190
9.8,2022,Audi,Compact,2,4,AM7,Z,205
9.8,2022,Audi,Station wagon: Small,2,4,AM7,Z,208
10.4,2022,Audi,Subcompact,2,4,AM7,Z,214
9.8,2022,Audi,Subcompact,2,4,AM7,Z,205
9.8,2022,Audi,Mid-size,2,4,AM7,Z,205
10.2,2022,Audi,Mid-size,2,4,AM7,Z,208
11.1,2022,Audi,Mid-size,3,6,AM7,Z,224
11.5,2022,Audi,Station wagon: Mid-size,3,6,AM7,Z,234
11.1,2022,Audi,Mid-size,3,6,AM7,Z,224
12.6,2022,Audi,Full-size,3,6,AS8,Z,248
10.4,2022,Audi,SUV: Small,2,4,AS8,X,215
11.4,2022,Audi,SUV: Small,2,4,AS8,X,233
10.3,2022,Audi,SUV: Small,2,4,AM7,Z,217
10.3,2022,Audi,SUV: Small,2,4,AM7,Z,220
10.3,2022,Audi,SUV: Small,2,4,AM7,Z,220
12,2022,Audi,SUV: Standard,2,4,AS8,Z,252
12.8,2022,Audi,SUV: Standard,3,6,AS8,Z,273
12.8,2022,Audi,SUV: Standard,3,6,AS8,Z,273
16.7,2022,Audi,Two-seater,5.2,10,AM7,Z,322
17.9,2022,Audi,Two-seater,5.2,10,AM7,Z,356
16.7,2022,Audi,Two-seater,5.2,10,AM7,Z,322
17.9,2022,Audi,Two-seater,5.2,10,AM7,Z,356
13,2022,Audi,Subcompact,2.9,6,AS8,Z,267
13.1,2022,Audi,Mid-size,2.9,6,AS8,Z,268
16.1,2022,Audi,Station wagon: Mid-size,4,8,AS8,Z,319
16,2022,Audi,Mid-size,4,8,AS8,Z,315
18,2022,Audi,SUV: Standard,4,8,AS8,Z,360
10,2022,Audi,Subcompact,2,4,AM7,Z,206
11.1,2022,Audi,Compact,3,6,AS8,Z,227
11.3,2022,Audi,Subcompact,3,6,AS8,Z,233
11.1,2022,Audi,Subcompact,3,6,AS8,Z,227
11.1,2022,Audi,Mid-size,3,6,AS8,Z,227
12.8,2022,Audi,Mid-size,2.9,6,AS8,Z,254
12.8,2022,Audi,Mid-size,2.9,6,AS8,Z,254
16.9,2022,Audi,Full-size,4,8,AS8,Z,323
12.5,2022,Audi,SUV: Small,3,6,AS8,Z,262
12.5,2022,Audi,SUV: Small,3,6,AS8,Z,262
16,2022,Audi,SUV: Standard,4,8,AS8,Z,325
16,2022,Audi,SUV: Standard,4,8,AS8,Z,325
10.5,2022,Audi,Subcompact,2,4,AM7,X,218
10.5,2022,Audi,Two-seater,2,4,AM7,X,218
11.7,2022,Audi,Subcompact,2.5,5,AM7,Z,235
10,2022,Audi,Subcompact,2,4,AM7,Z,209
15.8,2022,Bentley,SUV: Standard,4,8,AS8,Z,309
19,2022,Bentley,SUV: Standard,6,12,AS8,Z,383
14.9,2022,Bentley,Subcompact,4,8,AM8,Z,287
19.6,2022,Bentley,Subcompact,6,12,AM8,Z,379
15.2,2022,Bentley,Minicompact,4,8,AM8,Z,294
20.3,2022,Bentley,Minicompact,6,12,AM8,Z,395
15.5,2022,Bentley,Mid-size,4,8,AM8,Z,323
19.2,2022,Bentley,Mid-size,6,12,AM8,Z,373
9.5,2022,BMW,Compact,2,4,AS8,Z,195
10,2022,BMW,Subcompact,2,4,AS8,Z,202
10,2022,BMW,Subcompact,2,4,AS8,Z,202
10.1,2022,BMW,Mid-size,2,4,AS8,Z,206
10.5,2022,BMW,Full-size,3,6,AS8,Z,219
13.9,2022,BMW,Full-size,4.4,8,AS8,Z,279
13.9,2022,BMW,Full-size,4.4,8,AS8,Z,279
13.9,2022,BMW,Full-size,4.4,8,AS8,Z,279
13.9,2022,BMW,Mid-size,4.4,8,AS8,Z,279
15.7,2022,BMW,SUV: Standard,4.4,8,AS8,Z,321
10.4,2022,BMW,Compact,2,4,AS8,Z,214
10.4,2022,BMW,Subcompact,3,6,AS8,Z,212
14.7,2022,BMW,Compact,3,6,M6,Z,293
14.5,2022,BMW,Compact,3,6,AS8,Z,292
14.6,2022,BMW,Compact,3,6,AS8,Z,296
10.4,2022,BMW,Compact,3,6,AS8,Z,214
15.1,2022,BMW,Subcompact,3,6,AS8,Z,301
14.7,2022,BMW,Subcompact,3,6,M6,Z,293
14.5,2022,BMW,Subcompact,3,6,AS8,Z,292
14.6,2022,BMW,Subcompact,3,6,AS8,Z,296
10.4,2022,BMW,Subcompact,3,6,AS8,Z,211
10.4,2022,BMW,Subcompact,3,6,AS8,Z,214
10.9,2022,BMW,Compact,3,6,AS8,Z,224
16.1,2022,BMW,Mid-size,4.4,8,AS8,Z,322
16.1,2022,BMW,Mid-size,4.4,8,AS8,Z,322
16.1,2022,BMW,Mid-size,4.4,8,AS8,Z,322
13.5,2022,BMW,Mid-size,4.4,8,AS8,Z,271
17.8,2022,BMW,Full-size,6.6,12,AS8,Z,354
16.1,2022,BMW,Subcompact,4.4,8,AS8,Z,322
16.1,2022,BMW,Subcompact,4.4,8,AS8,Z,322
16.1,2022,BMW,Subcompact,4.4,8,AS8,Z,322
16.1,2022,BMW,Subcompact,4.4,8,AS8,Z,322
16.1,2022,BMW,Mid-size,4.4,8,AS8,Z,322
16.1,2022,BMW,Mid-size,4.4,8,AS8,Z,322
13.9,2022,BMW,Subcompact,4.4,8,AS8,Z,279
13.5,2022,BMW,Subcompact,4.4,8,AS8,Z,271
13.9,2022,BMW,Mid-size,4.4,8,AS8,Z,279
10.3,2022,BMW,SUV: Small,2,4,AS8,Z,213
9.9,2022,BMW,SUV: Small,2,4,AS8,Z,207
9.9,2022,BMW,SUV: Small,2,4,AS8,Z,207
11,2022,BMW,SUV: Small,2,4,AS8,Z,230
15.7,2022,BMW,SUV: Small,3,6,AS8,Z,323
15.7,2022,BMW,SUV: Small,3,6,AS8,Z,323
11.2,2022,BMW,SUV: Small,3,6,AS8,Z,241
11,2022,BMW,SUV: Small,2,4,AS8,Z,230
15.7,2022,BMW,SUV: Small,3,6,AS8,Z,323
15.7,2022,BMW,SUV: Small,3,6,AS8,Z,323
11.2,2022,BMW,SUV: Small,3,6,AS8,Z,241
11.3,2022,BMW,SUV: Standard,3,6,AS8,Z,241
17.9,2022,BMW,SUV: Standard,4.4,8,AS8,Z,364
17.9,2022,BMW,SUV: Standard,4.4,8,AS8,Z,364
14.4,2022,BMW,SUV: Standard,4.4,8,AS8,Z,302
11.3,2022,BMW,SUV: Standard,3,6,AS8,Z,241
17.9,2022,BMW,SUV: Standard,4.4,8,AS8,Z,364
17.9,2022,BMW,SUV: Standard,4.4,8,AS8,Z,364
14.4,2022,BMW,SUV: Standard,4.4,8,AS8,Z,302
12.1,2022,BMW,SUV: Standard,3,6,AS8,Z,256
15.7,2022,BMW,SUV: Standard,4.4,8,AS8,Z,321
9.4,2022,BMW,Two-seater,2,4,AS8,Z,199
10.8,2022,BMW,Two-seater,3,6,AS8,Z,223
26.8,2022,Bugatti,Two-seater,8,16,AM7,Z,522
30.3,2022,Bugatti,Two-seater,8,16,AM7,Z,608
30.3,2022,Bugatti,Two-seater,8,16,AM7,Z,608
13,2022,Buick,SUV: Standard,3.6,6,A9,X,263
13.6,2022,Buick,SUV: Standard,3.6,6,A9,X,277
9.7,2022,Buick,SUV: Small,1.4,4,AS6,X,201
10.2,2022,Buick,SUV: Small,1.4,4,AS6,X,214
8,2022,Buick,SUV: Small,1.2,3,AV,X,184
8.2,2022,Buick,SUV: Small,1.3,3,AV,X,185
9,2022,Buick,SUV: Small,1.3,3,A9,X,201
10,2022,Buick,SUV: Small,2,4,AS9,X,209
10.5,2022,Buick,SUV: Small,2,4,AS9,X,220
10.2,2022,Cadillac,Compact,2,4,AS8,Z,206
11,2022,Cadillac,Compact,2.7,4,AS10,Z,221
10.5,2022,Cadillac,Compact,2,4,AS8,Z,216
11.4,2022,Cadillac,Compact,2.7,4,AS10,Z,233
11.9,2022,Cadillac,Compact,2.7,4,AS10,Z,239
12,2022,Cadillac,Compact,2.7,4,AS10,Z,244
15,2022,Cadillac,Compact,3.6,6,AS10,Z,297
15.2,2022,Cadillac,Compact,3.6,6,M6,Z,303
10.3,2022,Cadillac,Mid-size,2,4,AS10,Z,207
12.4,2022,Cadillac,Mid-size,3,6,AS10,Z,252
10.9,2022,Cadillac,Mid-size,2,4,AS10,Z,222
12.8,2022,Cadillac,Mid-size,3,6,AS10,Z,260
12.8,2022,Cadillac,Mid-size,3,6,AS10,Z,258
12.8,2022,Cadillac,Mid-size,3,6,AS10,Z,260
18.1,2022,Cadillac,Mid-size,6.2,8,AS10,Z,346
18.3,2022,Cadillac,Mid-size,6.2,8,M6,Z,356
11.7,2022,Cadillac,SUV: Standard,3,6,A10,D,281
16.3,2022,Cadillac,SUV: Standard,6.2,8,A10,Z,345
17,2022,Cadillac,SUV: Standard,6.2,8,A10,Z,353
10,2022,Cadillac,SUV: Small,2,4,AS9,Z,211
10.9,2022,Cadillac,SUV: Small,2,4,AS9,Z,225
10.8,2022,Cadillac,SUV: Small,2,4,AS9,Z,225
11.2,2022,Cadillac,SUV: Small,2,4,AS9,Z,237
12.9,2022,Cadillac,SUV: Small,3.6,6,AS9,X,263
11.2,2022,Cadillac,SUV: Small,2,4,AS9,Z,239
13.1,2022,Cadillac,SUV: Small,3.6,6,AS9,X,269
10.6,2022,Chevrolet,SUV: Small,2,4,A9,X,221
12.3,2022,Chevrolet,SUV: Small,3.6,6,A9,X,252
10.8,2022,Chevrolet,SUV: Small,2,4,A9,X,232
12.6,2022,Chevrolet,SUV: Small,3.6,6,A9,X,259
10.9,2022,Chevrolet,Subcompact,2,4,AS8,Z,222
12.6,2022,Chevrolet,Subcompact,2,4,M6,Z,239
12.8,2022,Chevrolet,Subcompact,3.6,6,AS10,X,251
14.4,2022,Chevrolet,Subcompact,3.6,6,M6,X,281
14.6,2022,Chevrolet,Subcompact,6.2,8,AS10,Z,281
14.9,2022,Chevrolet,Subcompact,6.2,8,M6,Z,296
18.3,2022,Chevrolet,Subcompact,6.2,8,AS10,Z,355
17.2,2022,Chevrolet,Subcompact,6.2,8,M6,Z,349
12.2,2022,Chevrolet,Pickup truck: Small,2.5,4,A6,X,257
11.8,2022,Chevrolet,Pickup truck: Small,2.8,4,A6,D,270
12.9,2022,Chevrolet,Pickup truck: Small,3.6,6,A8,X,263
12.6,2022,Chevrolet,Pickup truck: Small,2.5,4,A6,X,267
12.2,2022,Chevrolet,Pickup truck: Small,2.8,4,A6,D,283
14,2022,Chevrolet,Pickup truck: Small,3.6,6,A8,X,283
13.3,2022,Chevrolet,Pickup truck: Small,2.8,4,A6,D,326
15,2022,Chevrolet,Pickup truck: Small,3.6,6,A8,X,329
15.1,2022,Chevrolet,Two-seater,6.2,8,AS8,Z,297
8.9,2022,Chevrolet,SUV: Small,1.5,4,A6,X,198
9.4,2022,Chevrolet,SUV: Small,1.5,4,A6,X,208
8.2,2022,Chevrolet,Mid-size,1.5,4,AV,X,175
10.7,2022,Chevrolet,Mid-size,2,4,A9,Z,213
12.5,2022,Chevrolet,Pickup truck: Standard,2.7,4,A8,X,274
10.2,2022,Chevrolet,Pickup truck: Standard,3,6,A10,D,240
16.2,2022,Chevrolet,Pickup truck: Standard,5.3,8,A6,X,341
21.5,2022,Chevrolet,Pickup truck: Standard,5.3,8,A6,E,321
15.1,2022,Chevrolet,Pickup truck: Standard,5.3,8,A8,X,314
14.4,2022,Chevrolet,Pickup truck: Standard,5.3,8,A10,X,304
13.9,2022,Chevrolet,Pickup truck: Standard,2.7,4,A8,X,306
14.7,2022,Chevrolet,Pickup truck: Standard,2.7,4,A8,X,328
10.9,2022,Chevrolet,Pickup truck: Standard,3,6,A10,D,272
10.5,2022,Chevrolet,Pickup truck: Standard,3,6,A10,D,265
11.8,2022,Chevrolet,Pickup truck: Standard,3,6,A10,D,298
16.5,2022,Chevrolet,Pickup truck: Standard,5.3,8,A6,X,347
22,2022,Chevrolet,Pickup truck: Standard,5.3,8,A6,E,326
17.4,2022,Chevrolet,Pickup truck: Standard,5.3,8,A6,X,380
23.1,2022,Chevrolet,Pickup truck: Standard,5.3,8,A6,E,358
15.6,2022,Chevrolet,Pickup truck: Standard,5.3,8,A8,X,327
16.9,2022,Chevrolet,Pickup truck: Standard,5.3,8,A8,X,359
14.7,2022,Chevrolet,Pickup truck: Standard,5.3,8,A10,X,314
16.8,2022,Chevrolet,Pickup truck: Standard,5.3,8,A10,X,347
15.3,2022,Chevrolet,Pickup truck: Standard,5.3,8,A10,X,327
16.1,2022,Chevrolet,Pickup truck: Standard,5.3,8,A10,X,339
16.6,2022,Chevrolet,Pickup truck: Standard,5.3,8,A10,X,361
16.8,2022,Chevrolet,Pickup truck: Standard,5.3,8,A10,X,364
18.1,2022,Chevrolet,Pickup truck: Standard,5.3,8,A10,X,381
15.7,2022,Chevrolet,Pickup truck: Standard,6.2,8,A10,Z,329
16.6,2022,Chevrolet,Pickup truck: Standard,6.2,8,A10,Z,345
16.5,2022,Chevrolet,Pickup truck: Standard,6.2,8,A10,Z,352
16.5,2022,Chevrolet,Pickup truck: Standard,6.2,8,A10,Z,352
18.2,2022,Chevrolet,Pickup truck: Standard,6.2,8,A10,Z,385
16.7,2022,Chevrolet,Pickup truck: Standard,6.2,8,A10,Z,366
7.7,2022,Chevrolet,Subcompact,1.4,4,AV,X,165
8,2022,Chevrolet,Subcompact,1.4,4,M5,X,170
11.2,2022,Chevrolet,SUV: Standard,3,6,A10,D,272
15.8,2022,Chevrolet,SUV: Standard,5.3,8,A10,X,327
16,2022,Chevrolet,SUV: Standard,5.3,8,A10,X,332
11.7,2022,Chevrolet,SUV: Standard,3,6,A10,D,281
15.9,2022,Chevrolet,SUV: Standard,5.3,8,A10,X,336
17,2022,Chevrolet,SUV: Standard,5.3,8,A10,X,354
16.3,2022,Chevrolet,SUV: Standard,6.2,8,A10,Z,345
17,2022,Chevrolet,SUV: Standard,6.2,8,A10,Z,353
11,2022,Chevrolet,SUV: Standard,3,6,A10,D,263
15.8,2022,Chevrolet,SUV: Standard,5.3,8,A10,X,327
16,2022,Chevrolet,SUV: Standard,5.3,8,A10,X,332
11.7,2022,Chevrolet,SUV: Standard,3,6,A10,D,281
15.8,2022,Chevrolet,SUV: Standard,5.3,8,A10,X,327
17,2022,Chevrolet,SUV: Standard,5.3,8,A10,X,354
16.3,2022,Chevrolet,SUV: Standard,6.2,8,A10,Z,345
17,2022,Chevrolet,SUV: Standard,6.2,8,A10,Z,353
8,2022,Chevrolet,SUV: Small,1.2,3,AV,X,184
8,2022,Chevrolet,SUV: Small,1.3,3,AV,X,178
8.9,2022,Chevrolet,SUV: Small,1.3,3,A9,X,197
13,2022,Chevrolet,SUV: Standard,3.6,6,A9,X,260
13.6,2022,Chevrolet,SUV: Standard,3.6,6,A9,X,277
9.7,2022,Chevrolet,SUV: Small,1.4,4,AS6,X,201
10.2,2022,Chevrolet,SUV: Small,1.4,4,AS6,X,214
12.4,2022,Chrysler,Full-size,3.6,6,A8,X,242
14.7,2022,Chrysler,Full-size,5.7,8,A8,X,289
12.8,2022,Chrysler,Full-size,3.6,6,A8,X,258
12.4,2022,Chrysler,Minivan,3.6,6,A9,X,249
12.4,2022,Chrysler,Minivan,3.6,6,A9,X,249
14.1,2022,Chrysler,Minivan,3.6,6,A9,X,279
12.4,2022,Dodge,Mid-size,3.6,6,A8,X,242
14.7,2022,Dodge,Mid-size,5.7,8,A8,X,289
15.6,2022,Dodge,Mid-size,5.7,8,M6,Z,307
15.8,2022,Dodge,Mid-size,6.4,8,A8,Z,305
16.7,2022,Dodge,Mid-size,6.4,8,M6,Z,325
12.8,2022,Dodge,Mid-size,3.6,6,A8,X,258
15.8,2022,Dodge,Mid-size,6.4,8,A8,Z,305
16.7,2022,Dodge,Mid-size,6.4,8,M6,Z,325
17.6,2022,Dodge,Mid-size,6.2,8,A8,Z,339
18.1,2022,Dodge,Mid-size,6.2,8,M6,Z,352
18.6,2022,Dodge,Mid-size,6.2,8,A8,Z,359
18.1,2022,Dodge,Mid-size,6.2,8,M6,Z,352
12.4,2022,Dodge,Full-size,3.6,6,A8,X,242
14.7,2022,Dodge,Full-size,5.7,8,A8,X,289
15.8,2022,Dodge,Full-size,6.4,8,A8,Z,305
12.8,2022,Dodge,Full-size,3.6,6,A8,X,258
15.8,2022,Dodge,Full-size,6.4,8,A8,Z,305
19,2022,Dodge,Full-size,6.2,8,A8,Z,368
12.7,2022,Dodge,SUV: Standard,3.6,6,A8,X,265
16.7,2022,Dodge,SUV: Standard,5.7,8,A8,X,331
18.3,2022,Dodge,SUV: Standard,6.4,8,A8,Z,363
10,2022,FIAT,SUV: Small,1.3,4,A9,X,221
12.1,2022,Ford,SUV: Small,2.3,4,AS10,X,275
12.1,2022,Ford,SUV: Small,2.3,4,M7,X,277
12.8,2022,Ford,SUV: Small,2.7,6,AS10,X,291
13.5,2022,Ford,SUV: Small,2.3,4,AS10,X,323
14.9,2022,Ford,SUV: Small,2.3,4,M7,X,336
14.1,2022,Ford,SUV: Small,2.7,6,AS10,X,331
13.1,2022,Ford,SUV: Small,2.3,4,AS10,X,308
13.8,2022,Ford,SUV: Small,2.3,4,M7,X,310
13.1,2022,Ford,SUV: Small,2.3,4,AS10,X,314
13.8,2022,Ford,SUV: Small,2.3,4,M7,X,317
14.1,2022,Ford,SUV: Small,2.7,6,AS10,X,331
9.3,2022,Ford,SUV: Small,1.5,3,A8,X,209
11.1,2022,Ford,SUV: Small,2,4,AS8,X,240
10.4,2022,Ford,SUV: Small,2,4,AS6,X,219
11.5,2022,Ford,SUV: Small,2,4,A8,X,238
11.6,2022,Ford,SUV: Small,2,4,AS8,X,239
12.6,2022,Ford,SUV: Small,2.7,6,AS8,X,262
8.5,2022,Ford,SUV: Small,1.5,3,A8,X,182
9,2022,Ford,SUV: Small,1.5,3,A8,X,198
10.5,2022,Ford,SUV: Small,2,4,A8,X,216
5.4,2022,Ford,SUV: Small,2.5,4,AV,X,136
5.5,2022,Ford,SUV: Small,2.5,4,AV,X,139
14.8,2022,Ford,SUV: Standard,3.5,6,AS10,X,304
15.4,2022,Ford,SUV: Standard,3.5,6,AS10,X,317
14.5,2022,Ford,SUV: Standard,3.5,6,AS10,X,317
15.2,2022,Ford,SUV: Standard,3.5,6,AS10,X,326
11.7,2022,Ford,SUV: Standard,2.3,4,A10,X,242
12,2022,Ford,SUV: Standard,2.3,4,A10,X,252
12.2,2022,Ford,SUV: Standard,2.3,4,AS10,X,269
12.5,2022,Ford,SUV: Standard,2.3,4,AS10,X,277
13.4,2022,Ford,SUV: Standard,3,6,A10,X,277
10.1,2022,Ford,SUV: Standard,3.3,6,AS10,X,225
12.1,2022,Ford,Pickup truck: Standard,2.7,6,AS10,X,256
13.5,2022,Ford,Pickup truck: Standard,2.7,6,AS10,X,282
12.1,2022,Ford,Pickup truck: Standard,3.3,6,AS10,X,260
16.8,2022,Ford,Pickup truck: Standard,3.3,6,AS10,E,249
13.1,2022,Ford,Pickup truck: Standard,3.5,6,AS10,X,275
